image_id,file_name,relative_path,classification_status,evaluation_state,hazard_density,latency,register_40001_coil,actuation_status
IMG-0001,spark_test.jpeg,photos/spark_test.jpeg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1716,0.90 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0002,1.jpg,photos/test/safe/1.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6106,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0003,10.jpg,photos/test/safe/10.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4170,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0004,100.jpg,photos/test/safe/100.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5779,1.05 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0005,11.jpg,photos/test/safe/11.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5442,0.48 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0006,12.jpg,photos/test/safe/12.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3586,0.80 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0007,13.jpg,photos/test/safe/13.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3838,1.41 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0008,14.jpg,photos/test/safe/14.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6313,0.94 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0009,15.jpg,photos/test/safe/15.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.8821,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0010,16.jpg,photos/test/safe/16.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2258,0.50 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0011,17.jpg,photos/test/safe/17.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6887,0.51 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0012,18.jpg,photos/test/safe/18.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2688,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0013,19.jpg,photos/test/safe/19.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5901,0.56 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0014,2.jpg,photos/test/safe/2.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0042,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0015,20.jpg,photos/test/safe/20.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0247,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0016,21.jpg,photos/test/safe/21.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4475,0.81 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0017,22.jpg,photos/test/safe/22.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),1.0000,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0018,23.jpg,photos/test/safe/23.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6467,0.55 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0019,24.jpg,photos/test/safe/24.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3477,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0020,25.jpg,photos/test/safe/25.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5151,0.86 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0021,26.jpg,photos/test/safe/26.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7576,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0022,27.jpg,photos/test/safe/27.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2217,0.55 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0023,28.jpg,photos/test/safe/28.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7222,1.02 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0024,29.jpg,photos/test/safe/29.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2222,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0025,3.jpg,photos/test/safe/3.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4570,0.69 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0026,30.jpg,photos/test/safe/30.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1050,0.49 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0027,31.jpg,photos/test/safe/31.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0718,0.56 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0028,32.jpg,photos/test/safe/32.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7053,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0029,33.jpg,photos/test/safe/33.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2776,1.14 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0030,34.jpg,photos/test/safe/34.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4517,0.74 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0031,35.jpg,photos/test/safe/35.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6748,0.81 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0032,36.jpg,photos/test/safe/36.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6101,1.09 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0033,37.jpg,photos/test/safe/37.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3994,0.48 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0034,38.jpg,photos/test/safe/38.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1641,0.48 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0035,39.jpg,photos/test/safe/39.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.9243,0.59 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0036,4.jpg,photos/test/safe/4.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3877,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0037,40.jpg,photos/test/safe/40.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1929,0.85 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0038,41.jpg,photos/test/safe/41.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5559,1.07 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0039,42.jpg,photos/test/safe/42.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1455,0.61 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0040,43.jpg,photos/test/safe/43.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7695,0.59 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0041,44.jpg,photos/test/safe/44.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6580,0.70 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0042,45.jpg,photos/test/safe/45.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6665,0.73 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0043,46.jpg,photos/test/safe/46.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2568,1.22 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0044,47.jpg,photos/test/safe/47.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.8245,0.83 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0045,48.jpg,photos/test/safe/48.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4504,0.89 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0046,49.jpg,photos/test/safe/49.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6721,0.60 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0047,5.jpg,photos/test/safe/5.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0508,0.55 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0048,50.jpg,photos/test/safe/50.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2727,0.56 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0049,51.jpg,photos/test/safe/51.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1399,0.69 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0050,52.jpg,photos/test/safe/52.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0200,0.85 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0051,53.jpg,photos/test/safe/53.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5896,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0052,54.jpg,photos/test/safe/54.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1643,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0053,55.jpg,photos/test/safe/55.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1030,0.60 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0054,56.jpg,photos/test/safe/56.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3770,0.62 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0055,57.jpg,photos/test/safe/57.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2437,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0056,58.jpg,photos/test/safe/58.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.9263,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0057,59.jpg,photos/test/safe/59.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7375,0.50 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0058,6.jpg,photos/test/safe/6.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5818,0.72 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0059,60.jpg,photos/test/safe/60.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2473,0.48 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0060,61.jpg,photos/test/safe/61.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3391,0.74 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0061,62.jpg,photos/test/safe/62.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2520,0.56 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0062,63.jpg,photos/test/safe/63.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1750,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0063,64.jpg,photos/test/safe/64.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.9978,1.03 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0064,65.jpg,photos/test/safe/65.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1384,0.87 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0065,66.jpg,photos/test/safe/66.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5530,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0066,67.jpg,photos/test/safe/67.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0564,0.94 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0067,68.jpg,photos/test/safe/68.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2336,1.06 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0068,69.jpg,photos/test/safe/69.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5642,0.73 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0069,7.jpg,photos/test/safe/7.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4814,0.81 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0070,70.jpg,photos/test/safe/70.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2034,0.47 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0071,71.jpg,photos/test/safe/71.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7544,0.50 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0072,72.jpg,photos/test/safe/72.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7556,0.74 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0073,73.jpg,photos/test/safe/73.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5312,0.74 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0074,74.jpg,photos/test/safe/74.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3354,0.90 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0075,75.jpg,photos/test/safe/75.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.8684,0.94 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0076,76.jpg,photos/test/safe/76.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5344,1.01 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0077,77.jpg,photos/test/safe/77.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3157,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0078,78.jpg,photos/test/safe/78.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4282,0.93 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0079,79.jpg,photos/test/safe/79.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6003,1.96 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0080,8.jpg,photos/test/safe/8.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5884,1.02 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0081,80.jpg,photos/test/safe/80.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6362,1.00 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0082,81.jpg,photos/test/safe/81.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2649,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0083,82.jpg,photos/test/safe/82.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1492,0.94 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0084,83.jpg,photos/test/safe/83.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.8489,0.83 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0085,84.jpg,photos/test/safe/84.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4492,0.59 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0086,85.jpg,photos/test/safe/85.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4133,0.72 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0087,86.jpg,photos/test/safe/86.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5569,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0088,87.jpg,photos/test/safe/87.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3691,1.42 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0089,88.jpg,photos/test/safe/88.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0354,0.79 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0090,89.jpg,photos/test/safe/89.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0994,0.74 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0091,9.jpg,photos/test/safe/9.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5889,0.95 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0092,90.jpg,photos/test/safe/90.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.9932,0.98 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0093,91.jpg,photos/test/safe/91.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.8022,1.28 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0094,92.jpg,photos/test/safe/92.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5259,0.57 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0095,93.jpg,photos/test/safe/93.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1421,0.82 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0096,94.jpg,photos/test/safe/94.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1523,0.81 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
